name,n,K,capacity,timelimit,objective,mip_gap,runtime,vehicles,term,primal,stated_cost,diff,diff_pct
C101,100,,200,1000.0,828.9368669428342,0.0,0.2956211566925049,10,OPTIMAL,,,,
C102,100,,200,1000.0,828.936865734945,0.030625709337644795,1000.0725131034851,10,TIME_LIMIT,,,,
C103,100,,200,1000.0,828.0648821980841,0.12178372954263747,1000.024188041687,10,TIME_LIMIT,,,,
C104,100,,200,1000.0,826.7721311189274,0.370735500601364,1000.0848488807678,10,TIME_LIMIT,,,,
C105,100,,200,1000.0,828.9368669428342,0.0,0.1974499225616455,10,OPTIMAL,,,,
C106,100,,200,1000.0,828.9368669428342,0.0,0.9102921485900879,10,OPTIMAL,,,,
C107,100,,200,1000.0,828.9368669428342,0.0,0.21863007545471191,10,OPTIMAL,,,,
C108,100,,200,1000.0,828.9368669428342,0.0,33.470869064331055,10,OPTIMAL,,,,
C109,100,,200,1000.0,828.9368668461675,0.22469051997068035,1000.0418150424957,10,TIME_LIMIT,,,,
C201,100,,700,1000.0,591.5565566715017,0.0,0.06031298637390137,3,OPTIMAL,,,,
C202,100,,700,1000.0,591.5565566715017,6.8425601456864e-5,0.6694209575653076,3,OPTIMAL,,,,
C203,100,,700,1000.0,591.1734427806317,0.0,7.57686185836792,3,OPTIMAL,,,,
C204,100,,700,1000.0,604.6623993769623,0.06627781966872798,1000.0366978645325,3,TIME_LIMIT,,,,
C205,100,,700,1000.0,588.8759622787319,0.0,0.5096349716186523,3,OPTIMAL,,,,
C206,100,,700,1000.0,588.492848762554,0.0,3.6599109172821045,3,OPTIMAL,,,,
C207,100,,700,1000.0,588.2863214262126,0.0,14.354226112365723,3,OPTIMAL,,,,
C208,100,,700,1000.0,588.3238006573991,0.0,33.32867503166199,3,OPTIMAL,,,,
R101,100,,200,1000.0,1642.8768747103454,0.0,0.16995906829833984,20,OPTIMAL,,,,
R102,100,,200,1000.0,1475.117824619862,0.10166422896894596,1000.0531599521637,18,TIME_LIMIT,,,,
R103,100,,200,1000.0,1249.2787331883612,0.20776951556383277,1000.030611038208,16,TIME_LIMIT,,,,
R104,100,,200,1000.0,1040.9065440875074,0.2873415362093906,1000.0297291278839,12,TIME_LIMIT,,,,
R105,100,,200,1000.0,1360.783198336454,3.474871741918901e-10,225.45851492881775,15,OPTIMAL,,,,
R106,100,,200,1000.0,1270.2994116056789,0.2408626989182851,1000.1073698997498,14,TIME_LIMIT,,,,
R107,100,,200,1000.0,1138.1873084536915,0.34260855657699363,1000.0485060214996,13,TIME_LIMIT,,,,
R108,100,,200,1000.0,983.8560082330252,0.32018178991728724,1000.1006169319153,11,TIME_LIMIT,,,,
R109,100,,200,1000.0,1209.4067345212677,0.24915396100556084,1000.0149388313293,14,TIME_LIMIT,,,,
R110,100,,200,1000.0,1113.7793716371486,0.3394362183672334,1000.1033470630646,12,TIME_LIMIT,,,,
R111,100,,200,1000.0,1123.9370488013653,0.35304231739571934,1000.2195250988007,13,TIME_LIMIT,,,,
R112,100,,200,1000.0,1048.8767860878847,0.3937222651105232,1000.140741109848,12,TIME_LIMIT,,,,
R201,100,,1000,1000.0,1147.803772621077,0.0,33.77688002586365,8,OPTIMAL,,,,
R202,100,,1000,1000.0,1049.319046296944,0.16210401040004974,1000.0699870586395,8,TIME_LIMIT,,,,
